,id,name,platform,publishers,publicationDate,globallySoldUnits,genres,criticScore,userScore,developers,summary,rating,series
52,Video_games_sales53,Grand Theft Auto IV,X360,Take-Two Interactive,2008-01-01,11.01,Action,98.0,7.9,,,M,
53,Video_games_sales54,Gran Turismo,PS,Sony Computer Entertainment,1997-01-01,10.95,Racing,96.0,8.8,,,E,
54,Video_games_sales55,Super Mario 3D Land,3DS,Nintendo,2011-01-01,10.87,Platform,90.0,8.4,,,E,
55,Video_games_sales56,Gran Turismo 5,PS3,Sony Computer Entertainment,2010-01-01,10.7,Racing,84.0,7.5,,,E,
56,Video_games_sales57,Call of Duty: Modern Warfare 2,PS3,Activision,2009-01-01,10.6,Shooter,94.0,6.3,,,M,
57,Video_games_sales58,Super Mario All-Stars,SNES,Nintendo,1993-01-01,10.55,Platform,,,,,,
58,Video_games_sales59,Grand Theft Auto IV,PS3,Take-Two Interactive,2008-01-01,10.51,Action,98.0,7.5,,,M,
59,Video_games_sales60,Pokemon FireRed/Pokemon LeafGreen,GBA,Nintendo,2004-01-01,10.49,Role-Playing,,,,,,
60,Video_games_sales61,Super Mario 64,DS,Nintendo,2004-01-01,10.31,Platform,,,,,,
61,Video_games_sales62,Call of Duty: Ghosts,X360,Activision,2013-01-01,10.28,Shooter,73.0,2.6,,,M,
62,Video_games_sales63,Just Dance 3,Wii,Ubisoft,2011-01-01,10.12,Misc,74.0,7.8,,,E10+,
63,Video_games_sales64,New Super Mario Bros. 2,3DS,Nintendo,2012-01-01,10.05,Platform,78.0,7.2,,,E,
64,Video_games_sales65,Halo: Reach,X360,Microsoft Game Studios,2010-01-01,9.9,Shooter,91.0,7.9,,,M,
65,Video_games_sales66,Mario Kart 64,N64,Nintendo,1996-01-01,9.87,Racing,,,,,,
66,Video_games_sales67,Halo 4,X360,Microsoft Game Studios,2012-01-01,9.77,Shooter,87.0,7.0,,,M,
67,Video_games_sales68,Final Fantasy VII,PS,Sony Computer Entertainment,1997-01-01,9.72,Role-Playing,92.0,9.2,,,T,
68,Video_games_sales69,Gran Turismo 2,PS,Sony Computer Entertainment,1999-01-01,9.49,Racing,93.0,9.0,,,T,
69,Video_games_sales70,Just Dance 2,Wii,Ubisoft,2010-01-01,9.44,Misc,74.0,7.3,,,E10+,
70,Video_games_sales71,Call of Duty: Ghosts,PS3,Activision,2013-01-01,9.37,Shooter,71.0,2.6,,,M,
71,Video_games_sales72,Call of Duty 4: Modern Warfare,X360,Activision,2007-01-01,9.35,Shooter,94.0,8.4,,,M,
72,Video_games_sales73,Animal Crossing: New Leaf,3DS,Nintendo,2012-01-01,9.34,Simulation,88.0,8.7,,,E,
73,Video_games_sales74,Donkey Kong Country,SNES,Nintendo,1994-01-01,9.3,Platform,,,,,,
74,Video_games_sales75,Minecraft,X360,Microsoft Game Studios,2013-01-01,9.3,Misc,,,,,,
75,Video_games_sales76,FIFA 17,PS4,Electronic Arts,2016-01-01,9.07,Sports,85.0,4.9,,,E,
76,Video_games_sales77,Mario Party DS,DS,Nintendo,2007-01-01,8.91,Misc,72.0,7.8,,,E,
77,Video_games_sales78,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,2011-01-01,8.84,Role-Playing,96.0,8.4,,,M,
78,Video_games_sales79,Super Mario Kart,SNES,Nintendo,1992-01-01,8.76,Racing,,,,,,
79,Video_games_sales80,FIFA 16,PS4,Electronic Arts,2015-01-01,8.6,Sports,82.0,4.3,,,E,
80,Video_games_sales81,Halo 2,X,Microsoft Game Studios,2004-01-01,8.49,Shooter,95.0,8.2,,,M,
81,Video_games_sales82,Wii Party,Wii,Nintendo,2010-01-01,8.39,Misc,68.0,7.5,,,E,
82,Video_games_sales83,Mario Party 8,Wii,Nintendo,2007-01-01,8.28,Misc,62.0,6.3,,,E,
83,Video_games_sales84,Star Wars Battlefront (2015),PS4,Electronic Arts,2015-01-01,8.21,Shooter,,,,,,
84,Video_games_sales85,FIFA Soccer 13,PS3,Electronic Arts,2012-01-01,8.17,Action,88.0,6.5,,,E,
85,Video_games_sales86,GoldenEye 007,N64,Nintendo,1997-01-01,8.09,Shooter,,,,,,
86,Video_games_sales87,Pokemon Black 2/Pokemon White 2,DS,Nintendo,2012-01-01,8.08,Role-Playing,,,,,,
87,Video_games_sales88,Final Fantasy X,PS2,Sony Computer Entertainment,2001-01-01,8.05,Role-Playing,92.0,8.7,,,T,
88,Video_games_sales89,The Sims 3,PC,Electronic Arts,2009-01-01,8.01,Simulation,86.0,7.6,,,T,
89,Video_games_sales90,Mario & Sonic at the Olympic Games,Wii,Sega,2007-01-01,7.99,Sports,,,,,,
90,Video_games_sales91,Final Fantasy VIII,PS,SquareSoft,1999-01-01,7.86,Role-Playing,90.0,8.6,,,T,
91,Video_games_sales92,Pac-Man,2600,Atari,1982-01-01,7.81,Puzzle,,,,,,
92,Video_games_sales93,Pok\xc3\xa9mon Platinum Version,DS,Nintendo,2008-01-01,7.72,Role-Playing,83.0,8.5,,,E,
93,Video_games_sales94,Grand Theft Auto: Liberty City Stories,PSP,Take-Two Interactive,2005-01-01,7.69,Action,88.0,7.6,,,M,
94,Video_games_sales95,Call of Duty: Advanced Warfare,PS4,Activision,2014-01-01,7.68,Shooter,83.0,5.7,,,M,
95,Video_games_sales96,Super Smash Bros. for Wii U and 3DS,3DS,Nintendo,2014-01-01,7.62,Fighting,,,,,,
96,Video_games_sales97,The Legend of Zelda: Ocarina of Time,N64,Nintendo,1998-01-01,7.6,Action,,,,,,
97,Video_games_sales98,Crash Bandicoot 2: Cortex Strikes Back,PS,Sony Computer Entertainment,1997-01-01,7.58,Platform,,,,,,
98,Video_games_sales99,Super Mario Galaxy 2,Wii,Nintendo,2010-01-01,7.54,Platform,97.0,9.1,,,E,
99,Video_games_sales100,Super Mario Bros. 2,NES,Nintendo,1988-01-01,7.46,Platform,,,,,,
100,Video_games_sales101,Call of Duty: Black Ops 3,XOne,Activision,2015-01-01,7.44,Shooter,,,,,,
101,Video_games_sales102,Call of Duty: World at War,X360,Activision,2008-01-01,7.42,Shooter,84.0,7.6,,,M,
102,Video_games_sales103,Fallout 4,PS4,Bethesda Softworks,2015-01-01,7.41,Role-Playing,87.0,6.5,,,M,
103,Video_games_sales104,Battlefield 3,X360,Electronic Arts,2011-01-01,7.33,Shooter,84.0,7.4,,,M,
104,Video_games_sales105,Uncharted 4: A Thiefs End,PS4,Sony Computer Entertainment,2016-01-01,7.28,Shooter,93.0,7.9,,,T,
