id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;name_preprocessed
Windowgames_3235;STCC – The Game;PC;Atari;2008-01-01;;Racing;;;SimBin Studios;;;;stcc the game
Windowgames_3236;Steel Panthers: World at War;PC;Matrix Games;2000-01-01;;Strategy;;;Matrix Games;;;;steel panthers world at war
Windowgames_3237;Steer Madness;PC;Veggie Games Inc;2004-01-01;;Adventure;;;Veggie Games Inc;;;;steer madness
Windowgames_3238;"Steins;Gate";PC;5pb.;2010-01-01;;Adventure,Visual Novel;;;5pb.,Nitroplus;;;;steinsgate
Windowgames_3239;"Steins;Gate 0";PC;5pb.;2016-01-01;;Adventure,Visual Novel;;;5pb.;;;;steinsgate 0
Windowgames_3240;"Steins;Gate Elite";PC;Spike Chunsoft;2019-01-01;;Visual Novel;;;5pb.;;;;steinsgate elite
Windowgames_3241;"Steins;Gate: Linear Bounded Phenogram";PC;Spike Chunsoft;2019-01-01;;Adventure,Visual Novel;;;5pb.;;;;steinsgate linear bounded phenogram
Windowgames_3242;Steven Spielbergs Directors Chair;PC;Knowledge Adventure;1996-01-01;;Simulator;;;Knowledge Adventure;;;;steven spielbergs directors chair
Windowgames_3243;Still Life;PC;MC2,The Adventure Company;2005-01-01;;Puzzle,Adventure,Indie;;;Microids;;;;still life
Windowgames_3244;Still Life 2;PC;Microids;2009-01-01;;Puzzle,Adventure;;;Gameco Studios;;;;still life 2
Windowgames_3245;Stolen;PC;Hip Games;2005-01-01;;Simulator,Adventure,Indie;;;Blue 52;;;;stolen
Windowgames_3246;The Stomping Land;PC;SuperCrit;2014-01-01;;Simulator,Strategy,Adventure,Indie;;;SuperCrit;;;;the stomping land
Windowgames_3247;Storm: Frontline Nation;PC;SimBin Studios;2009-01-01;;Strategy;;;Colossai Studios;;;;storm frontline nation
Windowgames_3248;Stormrise;PC;Sega;2009-01-01;;Real Time Strategy (RTS),Strategy;;;The Creative Assembly;;;;stormrise
Windowgames_3249;Stranger;PC;Fireglow Games;2008-01-01;;Adventure,Indie;;;Fireglow Games;;;;stranger
Windowgames_3250;Stranglehold;PC;Midway Games;2007-01-01;;Shooter;;;Midway Chicago;;;;stranglehold
Windowgames_3251;Strategic Command: European Theater;PC;Battlefront.com;2002-01-01;;Strategy;;;Fury Software;;;;strategic command european theater
Windowgames_3252;Strategy Challenges Collection 2: In the Wild;PC;Edmark,The Learning Company;1997-01-01;;Puzzle,Card & Board Game;;;Edmark;;;;strategy challenges collection 2 in the wild
Windowgames_3253;Street Fighter 30th Anniversary Collection;PC;Capcom;2018-01-01;;Fighting,Arcade;;;Capcom;;;;street fighter 30th anniversary collection
Windowgames_3254;Street Fighter Alpha;PC;Capcom;1995-01-01;;Fighting;;;Capcom;;;;street fighter alpha
Windowgames_3255;Street Fighter Alpha 2;PC;Capcom;1996-01-01;;Fighting,Adventure,Arcade;;;Capcom;;;;street fighter alpha 2
Windowgames_3256;Street Fighter IV;PC;Capcom;2008-01-01;;Pinball,Arcade;;;Dimps,Capcom;;;;street fighter iv
Windowgames_3257;Street Racing Syndicate;PC;Namco;2004-01-01;;Racing;;;Eutechnyx,Streamline Studios;;;;street racing syndicate
Windowgames_3258;Streets of SimCity;PC;Maxis,Electronic Arts;1997-01-01;;Shooter,Racing;;;Maxis;;;;streets of simcity
Windowgames_3259;Strike Fighters: Project 1;PC;Strategy First;2002-01-01;;Simulator;;;Third Wire Productions;;;;strike fighters project 1
Windowgames_3260;Strike Fighters 2;PC;Third Wire Productions;2008-01-01;;Simulator;;;Third Wire Productions;;;;strike fighters 2
Windowgames_3261;Strong Bads Cool Game for Attractive People;PC;Telltale Games;2008-01-01;;Point-and-click,Adventure;;;Telltale Games;;;;strong bads cool game for attractive people
Windowgames_3262;Stronghold;PC;Take 2 Interactive,Gathering of Developers;2001-01-01;;Real Time Strategy (RTS),Simulator,Strategy;;;Firefly Studios;;;;stronghold
Windowgames_3263;Stronghold 2;PC;2K Games;2005-01-01;;Simulator,Strategy;;;Firefly Studios;;;;stronghold 2
Windowgames_3264;Stronghold Legends;PC;2K Games;2006-01-01;;Real Time Strategy (RTS),Simulator,Strategy;;;Firefly Studios;;;;stronghold legends
Windowgames_3265;Stronghold: Crusader;PC;Take 2 Interactive and God Games;2002-01-01;;Simulator,Strategy;;;Firefly Studios;;;;stronghold crusader
Windowgames_3266;Stronghold: Crusader Extreme;PC;Gamecock Media Group;2008-01-01;;Real Time Strategy (RTS),Simulator,Strategy;;;Firefly Studios;;;;stronghold crusader extreme
Windowgames_3267;Stubbs the Zombie in Rebel Without a Pulse;PC;Aspyr Media;2005-01-01;;Adventure;;;Wideload Games;;;;stubbs the zombie in rebel without a pulse
Windowgames_3268;Stupid Invaders;PC;Xilam;2000-01-01;;Adventure;;;Ubisoft;;;;stupid invaders
Windowgames_3269;Su-27 Flanker;PC;Strategic Simulations,Inc.;1996-01-01;;Simulator;;;Eagle Dynamics;;;;su27 flanker
Windowgames_3270;Submarine TITANS;PC;Strategy First;2000-01-01;;Real Time Strategy (RTS),Simulator,Strategy;;;Ellipse Studios;;;;submarine titans
Windowgames_3271;Subterranean Animism;PC;Team Shanghai Alice;2008-01-01;;Shooter,Indie;;;Team Shanghai Alice;;;;subterranean animism
Windowgames_3272;Sudeki;PC;Microsoft Game Studios;2005-01-01;;Role-playing (RPG),Adventure;;;Climax Group;;;;sudeki
Windowgames_3273;The Suffering;PC;Midway Games;2004-01-01;;Role-playing (RPG);;;Surreal Software;;;;the suffering
Windowgames_3274;The Suffering: Ties That Bind;PC;Midway Games;2005-01-01;;Shooter;;;Surreal Software;;;;the suffering ties that bind
Windowgames_3275;Summer Athletics;PC;Digital Entertainment Pool;2008-01-01;;Sport;;;49Games;;;;summer athletics
