id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
wikidata_id_62558;Valthirian Arc: Hero School Story; PC;;2018-10-02;;;;;;;Everyone 10+;
wikidata_id_62559;Sakuranomori Dreamers; PC;;2016-05-27;;;;;;;;
wikidata_id_62561;John Daly's ProStroke Golf; PlayStation 3;;2010-10-05;;;;;;;Everyone;
wikidata_id_62562;Shirogane no Cal to Soukuu no Joou; PC;;2010-06-25;;;;;;;;
wikidata_id_62564;Shadow Play; PC;;2018-09-20;;;;;;;;
wikidata_id_62565;Stardew Valley; Xbox One;;2016-12-14;;;;;;;Everyone 10+;
wikidata_id_62567;Dead Rising 2; PC;;2010-09-24;;;;;;;Mature 17+;Dead Rising
wikidata_id_62568;Itadaki Street: Dragon Quest and Final Fantasy 30th Anniversary; PlayStation Vita;;2017-10-19;;;;;;;;Fortune Street
wikidata_id_62569;Dauntless; Switch;;2019-01-01;;;;;;;Teen;
wikidata_id_62570;Tayutama 2: You're the Only One; PC;;2016-12-09;;;;;;;;
wikidata_id_62571;Gray Dawn; PC;;2018-01-01;;;;;;;;
wikidata_id_62573;Airships: Conquer the Skies; PC;;2015-02-25;;;;;;;;
wikidata_id_62575;The Lion's Song; PC;;2016-01-01;;;;;;;Teen;
wikidata_id_62578;Red Faction Guerrilla Re-Mars-tered; PlayStation 4;;2018-07-03;;;;;;;Mature 17+;Red Faction
wikidata_id_62581;Soulcalibur V; PlayStation 3;;2012-01-31;;;;;;;Teen;Soulcalibur
wikidata_id_62582;Unepic; Xbox One;;2011-09-30;;;;;;;Teen;
wikidata_id_62583;The Binding of Isaac: Rebirth; PC;;2014-01-01;;;;;;;Mature 17+;The Binding of Isaac
wikidata_id_62584;Squids Odyssey; PC;;2014-05-22;;;;;;;Everyone;
wikidata_id_62589;Super Meat Boy; PlayStation 4;;2010-10-20;;;;;;;Teen;
wikidata_id_62590;Paper Sorcerer; PC;;2013-11-21;;;;;;;;
wikidata_id_62591;Global Agenda; PC;;2010-02-01;;;;;;;Teen;
wikidata_id_62592;Curse: The Eye of Isis; Xbox;;2012-06-16;;;;;;;;
wikidata_id_62593;Nickelodeon Kart Racers; PlayStation 4;;2018-01-01;;;;;;;Everyone;Nickelodeon Kart Racers
wikidata_id_62594;The Jackbox Party Pack; PC;;2014-11-19;;;;;;;Teen;The Jackbox Party Pack
wikidata_id_62596;Hand of Fate 2; PC;;2017-11-07;;;;;;;Teen;
wikidata_id_62598;Space Channel 5: Part 2; PC;;2011-03-04;;;;;;;Teen;Space Channel 5
wikidata_id_62601;GOD EATER 2 Rage Burst; PC;;2013-11-14;;;;;;;;God Eater
wikidata_id_62603;Meridian: New World; PC;;2014-04-04;;;;;;;;
wikidata_id_62604;eFootball PES 2020; Xbox One;;2019-09-10;;;;;;;Everyone;eFootball
wikidata_id_62607;Strider; PlayStation 4;;2014-02-18;;;;;;;;
wikidata_id_62609;Metro 2033; Xbox 360;;2010-03-16;;;;;;;Mature 17+;Metro 2033 Universe
wikidata_id_62611;A Fisherman's Tale; PC;;2019-01-22;;;;;;;;
wikidata_id_62613;Leap of Fate; PC;;2016-03-30;;;;;;;Teen;
wikidata_id_62615;Clutch; PlayStation 3;;2011-06-02;;;;;;;Mature 17+;
wikidata_id_62618;Haunted Memories; PC;;2012-01-01;;;;;;;;Slender
wikidata_id_62619;Just Dance 2017; Switch;;2016-10-27;;;;;;;;Just Dance
wikidata_id_62620;Dishonored 2; Xbox One;;2016-11-11;;;;;;;Mature 17+;Dishonored
wikidata_id_62621;D.S. -Dal Segno-; PlayStation Vita;;2016-01-01;;;;;;;;
wikidata_id_62622;Hotch Kiss; PlayStation 4;;2012-02-24;;;;;;;;
wikidata_id_62623;The Coma: Recut; PlayStation 4;;2017-09-22;;;;;;;Teen;The Coma
wikidata_id_62626;Neverwinter; Xbox One;;2013-06-20;;;;;;;Teen;
wikidata_id_62627;Rango; Wii;;2011-03-01;;;;;;;Everyone 10+;
wikidata_id_62628;TrickStyle; PC;;2017-02-21;;;;;;;Everyone;
wikidata_id_62629;Pistol Whip; PC;;2019-11-07;;;;;;;;
wikidata_id_62630;Beyond Enemy Lines; PC;;2017-02-21;;;;;;;;Beyond Enemy Lines
wikidata_id_62632;Second Chance Heroes; PC;;2014-09-30;;;;;;;Teen;
wikidata_id_62634;FIFA 11; Xbox 360;;2010-09-28;;;;;;;Everyone;FIFA
wikidata_id_62636;Order & Chaos 2: Redemption; PC;;2015-09-01;;;;;;;;
wikidata_id_62640;Tricky Towers; PlayStation 4;;2016-08-02;;;;;;;Everyone;
wikidata_id_62641;Crsed: F.O.A.D; PlayStation 4;;2018-01-01;;;;;;;Mature 17+;
wikidata_id_62643;Celeste; PC;;2018-01-25;;;;;;;Everyone 10+;Celeste
wikidata_id_62644;UFC Personal Trainer; Xbox 360;;2011-06-28;;;;;;;;
wikidata_id_62646;Human Resource Machine; Wii U;;2015-10-15;;;;;;;Everyone 10+;
wikidata_id_62647;FIFA 11; DS;;2010-09-28;;;;;;;Everyone;FIFA
wikidata_id_62648;Serpent in the Staglands; PC;;2015-05-28;;;;;;;;
wikidata_id_62649;Friday the 13th: The Game; Xbox One;;2017-01-01;;;;;;;;
wikidata_id_62650;Super Neptunia RPG; PC;;2018-12-20;;;;;;;Teen;Hyperdimension Neptunia
wikidata_id_62652;The Princess, the Stray Cat, and Matters of the Heart; PlayStation Vita;;2016-01-01;;;;;;;;
wikidata_id_62655;Caveman Warriors; Switch;;2017-09-22;;;;;;;Everyone 10+;
wikidata_id_62657;Atom RPG; PC;;2018-12-19;;;;;;;Mature 17+;
wikidata_id_62658;Broforce; PC;;2015-10-15;;;;;;;Mature 17+;
wikidata_id_62659;New Gundam Breaker; PC;;2018-09-24;;;;;;;Teen;
wikidata_id_62660;Flashback; Xbox 360;;2013-08-21;;;;;;;;
wikidata_id_62661;Prime World: Defenders; PC;;2013-06-01;;;;;;;;Prime World
wikidata_id_62667;Middle-earth: Shadow of War; PlayStation 4;;2017-10-10;;;;;;;Mature 17+;
wikidata_id_62668;TrackMania²: Valley; PC;;2013-01-01;;;;;;;;
wikidata_id_62670;Strider; PlayStation 3;;2014-02-18;;;;;;;;
wikidata_id_62671;Human: Fall Flat; PC;;2016-07-22;;;;;;;Everyone;
wikidata_id_62672;Starwhal; Xbox One;;2014-01-01;;;;;;;Everyone 10+;
wikidata_id_62674;Bloodborne: The Old Hunters; PlayStation 4;;2015-11-24;;;;;;;;
wikidata_id_62675;The Stanley Parable; PC;;2011-07-27;;;;;;;Teen;
wikidata_id_62679;Rain World; PC;;2017-03-28;;;;;;;Everyone 10+;
wikidata_id_62680;Love Live! School Idol Paradise Vol. 2: BiBi; PlayStation Vita;;2014-08-28;;;;;;;;Love Live! School Idol Project
