id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series;name_preprocessed
PS4_id_5850;Feral Fury (EU);PlayStation 4;Skandivania Games;2017-12-22;;Roguelite,Shoot 'em up;;;Skandivania Games;;;;feral fury eu
PS4_id_5851;Fernz Gate;PlayStation 4;KEMCO;2021-09-17;;Role Playing,Turn Based;;;EXE-CREATE;;;;fernz gate
PS4_id_5852;Feudal Alloy;PlayStation 4;Attu Games;2019-05-14;;Metroidvania,Platformer;;;Attu Games;;;;feudal alloy
PS4_id_5853;Feudal Alloy (EU);PlayStation 4;Attu Games;2019-05-16;;Metroidvania,Platformer;;;Attu Games;;;;feudal alloy eu
PS4_id_5854;Feudal Alloy (JP);PlayStation 4;Rainy Frog;2019-08-01;;Metroidvania,Platformer;;;Attu Games;;;;feudal alloy jp
PS4_id_5855;Fez;PlayStation 4;Polytron Corporation;2014-03-25;;Puzzle,Platformer;;;Polytron Corporation;;;;fez
PS4_id_5856;FIA European Truck Racing Championship;PlayStation 4;Nacon;2019-07-18;;Simulation Racing;;;N-Racing;;;;fia european truck racing championship
PS4_id_5857;Fibbage;PlayStation 4;Jackbox Games;2014-09-16;;Educational & Trivia,Party;;;Jackbox Games;;;;fibbage
PS4_id_5858;FIFA 14;PlayStation 4;Electronic Arts;2013-11-15;;Sports,Football;;;EA Canada;;;;fifa 14
PS4_id_5859;FIFA 15;PlayStation 4;Electronic Arts;2014-09-26;;Sports,Football;;;EA Canada;;;;fifa 15
PS4_id_5860;FIFA 16;PlayStation 4;Electronic Arts;2015-09-22;;Sports,Football;;;EA Canada;;;;fifa 16
PS4_id_5861;FIFA 17;PlayStation 4;Electronic Arts;2016-09-27;;Sports,Football;;;EA Canada;;;;fifa 17
PS4_id_5862;FIFA 18;PlayStation 4;Electronic Arts;2017-09-29;;Sports,Football;;;EA Canada;;;;fifa 18
PS4_id_5863;FIFA 19;PlayStation 4;Electronic Arts;2018-09-28;;Sports,Football;;;EA Canada;;;;fifa 19
PS4_id_5864;FIFA 20;PlayStation 4;Electronic Arts;2019-09-27;;Sports,Football;;;EA Canada;;;;fifa 20
PS4_id_5865;FIFA 21 (PS4);PlayStation 4;Electronic Arts;2020-10-09;;Sports,Football;;;EA Canada;;;;fifa 21 ps4
PS4_id_5866;FIFA 22 (PS4);PlayStation 4;Electronic Arts;2021-10-01;;Sports,Football;;;EA Canada;;;;fifa 22 ps4
PS4_id_5867;Fifty Words by POWGI;PlayStation 4;Lightwood Games;2019-09-03;;Puzzle;;;Lightwood Games;;;;fifty words by powgi
PS4_id_5868;Fifty Words by POWGI (Asia);PlayStation 4;eastasiasoft;2019-10-08;;Puzzle;;;Lightwood Games;;;;fifty words by powgi asia
PS4_id_5869;Fifty Words by POWGI (EU);PlayStation 4;Lightwood Games;2019-09-03;;Puzzle;;;Lightwood Games;;;;fifty words by powgi eu
PS4_id_5870;Fight;PlayStation 4;Sabec;2020-11-05;;Fighting;;;Sabec;;;;fight
PS4_id_5871;Fight (EU);PlayStation 4;Sabec;2020-11-12;;Fighting;;;Sabec;;;;fight eu
PS4_id_5872;Fight Knight;PlayStation 4;;;;;;;;;;;fight knight
PS4_id_5873;Fight of Animals;PlayStation 4;Digital Crafter;2020-09-24;;Fighting;;;Digital Crafter;;;;fight of animals
PS4_id_5874;Fight of Gods;PlayStation 4;Digital Crafter;2020-07-16;;Fighting;;;Digital Crafter;;;;fight of gods
PS4_id_5875;Fighting EX Layer;PlayStation 4;Arika;2018-06-28;;Fighting;;;Arika;;;;fighting ex layer
PS4_id_5876;Fight'N Rage;PlayStation 4;BlitWorks;2019-12-03;;Beat 'em up;;;Sebagamesdev;;;;fightn rage
PS4_id_5877;Fight'N Rage (Asia);PlayStation 4;eastasiasoft;2020-09-10;;Beat 'em up;;;Sebagamesdev,BlitWorks;;;;fightn rage asia
PS4_id_5878;Figment;PlayStation 4;Sony Music Entertainment;2019-04-25;;Action-Adventure;;;Bedtime Digital Games;;;;figment
PS4_id_5879;Figment (Asia);PlayStation 4;Bedtime Digital Games;2019-04-25;;Action-Adventure;;;Bedtime Digital Games;;;;figment asia
PS4_id_5880;Figureheads;PlayStation 4;Square Enix;2017-03-09;;Third Person Shooter,Mech,Real Time;;;Game Studio;;;;figureheads
PS4_id_5881;Fill-a-Pix: Phil's Epic Adventure;PlayStation 4;Lightwood Games;2018-07-24;;Puzzle;;;Lightwood Games;;;;fillapix phils epic adventure
PS4_id_5882;Fill-a-Pix: Phil's Epic Adventure (Asia);PlayStation 4;eastasiasoft;2019-08-27;;Puzzle;;;Lightwood Games;;;;fillapix phils epic adventure asia
PS4_id_5883;Fill-a-Pix: Phil's Epic Adventure (EU);PlayStation 4;Lightwood Games;2018-07-24;;Puzzle;;;Lightwood Games;;;;fillapix phils epic adventure eu
PS4_id_5884;Filthy Lucre;PlayStation 4;Fabrik Games;2016-09-15;;Action-Adventure;;;Fabrik Games;;;;filthy lucre
PS4_id_5885;Fimbul;PlayStation 4;EuroVideo;2019-02-28;;Action-Adventure;;;Zaxis;;;;fimbul
PS4_id_5886;Fimbul (EU);PlayStation 4;EuroVideo;2019-02-28;;Action-Adventure;;;Zaxis;;;;fimbul eu
