"Video_games_sales9237","PS4_id_881","1.0"
"Video_games_sales9661","PS4_id_5644","1.0"
"Video_games_sales4502","PS4_id_251","1.0"
"Video_games_sales10356","PS4_id_4441","1.0"
"Video_games_sales893","PS4_id_1275","0.43999999999999995"
"Video_games_sales2589","PS4_id_3065","1.0"
"Video_games_sales10598","PS4_id_4097","1.0"
"Video_games_sales14074","PS4_id_3840","1.0"
"Video_games_sales5628","PS4_id_1988","1.0"
"Video_games_sales1028","PS4_id_8940","0.72"
"Video_games_sales11446","PS4_id_8729","1.0"
"Video_games_sales10793","PS4_id_2157","1.0"
"Video_games_sales11555","PS4_id_5586","1.0"
"Video_games_sales10585","PS4_id_1409","1.0"
"Video_games_sales2215","PS4_id_4753","1.0"
"Video_games_sales10246","PS4_id_6267","0.8833333333333333"
"Video_games_sales14955","PS4_id_1553","1.0"
"Video_games_sales5932","PS4_id_4699","1.0"
"Video_games_sales8232","PS4_id_8184","0.6888888888888889"
"Video_games_sales664","PS4_id_8743","1.0"
"Video_games_sales325","PS4_id_7530","1.0"
"Video_games_sales13309","PS4_id_7705","1.0"
"Video_games_sales11302","PS4_id_7144","1.0"
"Video_games_sales1029","PS4_id_1544","1.0"
"Video_games_sales11798","PS4_id_1350","0.41666666666666663"
"Video_games_sales31","PS4_id_7529","0.8"
"Video_games_sales7460","PS4_id_7482","1.0"
"Video_games_sales4512","PS4_id_4355","0.6499999999999999"
"Video_games_sales12888","PS4_id_5187","1.0"
"Video_games_sales12864","PS4_id_5183","1.0"
"Video_games_sales10257","PS4_id_346","1.0"
"Video_games_sales2357","PS4_id_7213","1.0"
"Video_games_sales15959","PS4_id_4921","0.5249999999999999"
"Video_games_sales5969","PS4_id_5437","0.72"
"Video_games_sales225","PS4_id_7027","0.475"
"Video_games_sales15187","PS4_id_3558","1.0"
"Video_games_sales6828","PS4_id_4334","1.0"
"Video_games_sales13845","PS4_id_3901","0.6888888888888889"
"Video_games_sales17003","PS4_id_8258","1.0"
"Video_games_sales12526","PS4_id_898","0.7666666666666666"
"Video_games_sales4995","PS4_id_6701","1.0"
"Video_games_sales4983","PS4_id_802","0.6499999999999999"
"Video_games_sales8573","PS4_id_6424","1.0"
"Video_games_sales3349","PS4_id_8859","1.0"
"Video_games_sales5837","PS4_id_5445","0.7666666666666666"
"Video_games_sales10796","PS4_id_8734","1.0"
"Video_games_sales10893","PS4_id_8044","1.0"
"Video_games_sales105","PS4_id_2177","1.0"
"Video_games_sales565","PS4_id_6991","1.0"
"Video_games_sales12301","PS4_id_6558","1.0"
"Video_games_sales10651","PS4_id_3365","0.8833333333333333"
"Video_games_sales6022","PS4_id_5568","0.5545454545454545"
