id;name;platform;publishers;publicationDate;globallySoldUnits;genres;criticScore;userScore;developers;summary;rating;series
wikidata_id_35215;Midway Arcade Treasures;PS2;;2003-11-18;;;;;;;;
wikidata_id_35216;Piglet's Big Game;GBA;;2003-03-19;;;;;;;;
wikidata_id_35217;Commando: Steel Disaster;DS;;2008-05-30;;;;;;;;
wikidata_id_35218;Transformers: The Game;PSP;;2007-06-19;;;;;;;Teen;
wikidata_id_35219;Artificial Girl 2;PC;;2004-11-26;;;;;;;;Artificial Girl
wikidata_id_35220;The Sims 2: H&M Fashion Stuff;PC;;2007-06-05;;;;;;;;
wikidata_id_35221;Ford Racing 3;GBA;;2004-10-29;;;;;;;;
wikidata_id_35222;Boing! Docomodake DS;DS;;2007-12-06;;;;;;;Everyone;
wikidata_id_35223;SSX Tricky;GC;;2001-11-05;;;;;;;Everyone;SSX
wikidata_id_35224;SSX Tricky;GBA;;2001-11-05;;;;;;;Everyone;SSX
wikidata_id_35225;Frogger's Adventures: The Rescue;PC;;2003-10-21;;;;;;;Everyone;Frogger
wikidata_id_35226;Starshatter: The Gathering Storm;PC;;2004-07-07;;;;;;;;
wikidata_id_35227;Alexandra Ledermann 5 : L'Héritage du haras;PC;;2004-01-01;;;;;;;;
wikidata_id_35228;Starships Unlimited;PC;;2001-05-23;;;;;;;;
wikidata_id_35229;Street Fighter Anniversary Collection;PS2;;2004-08-31;;;;;;;;
wikidata_id_35230;Frogger's Adventures: The Rescue;GC;;2003-10-21;;;;;;;Everyone;Frogger
wikidata_id_35231;Painkiller;X;;2004-04-12;;;;;;;Mature 17+;
wikidata_id_35232;FlatOut 2;X;;2006-06-30;;;;;;;Teen;FlatOut
wikidata_id_35233;D-A: Black;PS2;;2003-12-25;;;;;;;;
wikidata_id_35234;Again;DS;;2009-12-10;;;;;;;Teen;
wikidata_id_35235;FlatOut 2;PSP;;2006-06-30;;;;;;;Teen;FlatOut
wikidata_id_35236;Suggoi! Arcana Heart 2;PS2;;2008-01-01;;;;;;;;Arcana Heart
wikidata_id_35237;Giana Sisters DS;PC;;2009-04-03;;;;;;;;Giana Sisters
wikidata_id_35239;Enigmo;PC;;2003-01-01;;;;;;;;
wikidata_id_35245;428 Shibuya Scramble;Wii;;2008-12-04;;;;;;;Teen;
wikidata_id_35246;Manhunt;X;;2003-11-18;;;;;;;Mature 17+;Manhunt
wikidata_id_35247;Grandia III;PS2;;2005-08-04;;;;;;;Teen;Grandia
wikidata_id_35249;Simple 1500 Jitsuyou Series Vol. 01: Norikae Annai: 2000-nenban;PS;;2000-01-01;;;;;;;;Simple 1500 Jitsuyou Series
wikidata_id_35251;428 Shibuya Scramble;PSP;;2008-12-04;;;;;;;Teen;
wikidata_id_35254;DDRMAX Dance Dance Revolution;PS2;;2002-10-29;;;;;;;Everyone;Dance Dance Revolution
wikidata_id_35255;God of War: Chains of Olympus;PS3;;2008-03-04;;;;;;;Mature 17+;God of War
wikidata_id_35256;InFamous;PS3;;2009-05-26;;;;;;;Teen;InFamous
wikidata_id_35257;Jikkyō World Soccer 2002;X;;2002-03-14;;;;;;;;
wikidata_id_35258;Shrek's Carnival Craze;DS;;2008-01-01;;;;;;;;
wikidata_id_35260;Agatha Christie: Evil Under the Sun;Wii;;2007-10-16;;;;;;;Teen;Agatha Christie
wikidata_id_35261;Rumble Fighter;PC;;2007-08-01;;;;;;;;
wikidata_id_35263;The Bigs;X360;;2007-06-25;;;;;;;;
wikidata_id_35264;Sonic Adventure 2;DC;;2001-06-19;;;;;;;Everyone 10+;Sonic Adventure
wikidata_id_35265;Blitz: The League II;X360;;2008-10-13;;;;;;;;
wikidata_id_35266;Mech Platoon;GBA;;2001-11-30;;;;;;;Everyone;
wikidata_id_35267;Robotech: Battlecry;GC;;2002-09-23;;;;;;;Teen;
wikidata_id_35268;G.I. Joe: The Rise of Cobra;PS2;;2009-08-04;;;;;;;;
wikidata_id_35269;Gianluca Vialli's European Manager;PC;;2002-04-12;;;;;;;;
wikidata_id_35271;Sam & Max: Situation: Comedy;PC;;2006-01-01;;;;;;;;
wikidata_id_35274;All Grown Up!: Express Yourself;GBA;;2004-10-19;;;;;;;;
wikidata_id_35275;Gradius Advance;GBA;;2001-11-09;;;;;;;;Gradius
wikidata_id_35276;Dinosaurs;PS;;2003-01-01;;;;;;;;
wikidata_id_35277;Bleach DS 4th: Flame Bringer;DS;;2009-08-06;;;;;;;;Bleach DS
wikidata_id_35278;Ship Simulator 2008;PC;;2007-01-01;;;;;;;Everyone;
wikidata_id_35279;Gensoumaden Saiyuuki: Hangyaku no Toshin Taishi;GBA;;2003-01-01;;;;;;;;
wikidata_id_35281;Jak X: Combat Racing;PS4;;2005-10-18;;;;;;;Teen;Jak and Daxter
wikidata_id_35282;Call to Power II;PC;;2000-11-01;;;;;;;Everyone;
wikidata_id_35283;DEFCON;PC;;2006-09-29;;;;;;;;
wikidata_id_35284;Vexx;X;;2003-02-10;;;;;;;Teen;
