"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameNameComparatorLevenshtein record1Value","[0] GameNameComparatorLevenshtein record2Value","[0] GameNameComparatorLevenshtein record1PreprocessedValue","[0] GameNameComparatorLevenshtein record2PreprocessedValue","[0] GameNameComparatorLevenshtein similarity","[0] GameNameComparatorLevenshtein postproccesedSimilarity","[1] GameDateComparator3Years record1Value","[1] GameDateComparator3Years record2Value","[1] GameDateComparator3Years record1PreprocessedValue","[1] GameDateComparator3Years record2PreprocessedValue","[1] GameDateComparator3Years similarity","[1] GameDateComparator3Years postproccesedSimilarity"
"LinearCombinationMatchingRule","all_games11237","Windowgames_60","0.04375",,"Halfway","Age of Empires II: The Forgotten","Halfway","Age of Empires II: The Forgotten","0.0625","0.0625","2014-07-22T00:00","2013-01-01T00:00","2014-07-22T00:00","2013-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games623","Windowgames_1118","0.10500000000000001",,"Homeworld: Cataclysm","Enclave","Homeworld: Cataclysm","Enclave","0.15000000000000002","0.15000000000000002","2000-09-07T00:00","2002-01-01T00:00","2000-09-07T00:00","2002-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games11237","Windowgames_62","0.0388888888888889",,"Halfway","Age of Empires II: Rise of the Rajas","Halfway","Age of Empires II: Rise of the Rajas","0.05555555555555558","0.05555555555555558","2014-07-22T00:00","2016-01-01T00:00","2014-07-22T00:00","2016-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games12689","Windowgames_107","0.1909090909090909",,"Kane & Lynch: Dead Men","Alone in the Dark","Kane & Lynch: Dead Men","Alone in the Dark","0.2727272727272727","0.2727272727272727","2007-11-20T00:00","2008-01-01T00:00","2007-11-20T00:00","2008-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games12689","Windowgames_109","0.49090909090909085",,"Kane & Lynch: Dead Men","Alpha Prime","Kane & Lynch: Dead Men","Alpha Prime","0.2727272727272727","0.2727272727272727","2007-11-20T00:00","2007-01-01T00:00","2007-11-20T00:00","2007-01-01T00:00","1.0","1.0"
"LinearCombinationMatchingRule","all_games1637","Windowgames_2708","0.18529411764705878",,"Command & Conquer 3: Tiberium Wars","Rayman Raving Rabbids","Command & Conquer 3: Tiberium Wars","Rayman Raving Rabbids","0.2647058823529411","0.2647058823529411","2007-03-26T00:00","2006-01-01T00:00","2007-03-26T00:00","2006-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games14963","Windowgames_2720","0.06999999999999998",,"Lost Ruins","Rebel Cops","Lost Ruins","Rebel Cops","0.09999999999999998","0.09999999999999998","2021-05-13T00:00","2019-01-01T00:00","2021-05-13T00:00","2019-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games1637","Windowgames_2709","0.06176470588235295",,"Command & Conquer 3: Tiberium Wars","Re-Mission","Command & Conquer 3: Tiberium Wars","Re-Mission","0.08823529411764708","0.08823529411764708","2007-03-26T00:00","2006-01-01T00:00","2007-03-26T00:00","2006-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games2221","Windowgames_3339","0.0823529411764706",,"NieR: Automata","Team Sonic Racing","NieR: Automata","Team Sonic Racing","0.11764705882352944","0.11764705882352944","2017-03-17T00:00","2019-01-01T00:00","2017-03-17T00:00","2019-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games1796","Windowgames_2870","0.0875",,"The Elder Scrolls III: Bloodmoon","Schizm: Mysterious Journey","The Elder Scrolls III: Bloodmoon","Schizm: Mysterious Journey","0.125","0.125","2003-06-03T00:00","2001-01-01T00:00","2003-06-03T00:00","2001-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games2221","Windowgames_3335","0.049999999999999975",,"NieR: Automata","Tasty Blue","NieR: Automata","Tasty Blue","0.0714285714285714","0.0714285714285714","2017-03-17T00:00","2015-01-01T00:00","2017-03-17T00:00","2015-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games1796","Windowgames_2871","0.175",,"The Elder Scrolls III: Bloodmoon","School Tycoon","The Elder Scrolls III: Bloodmoon","School Tycoon","0.25","0.25","2003-06-03T00:00","2004-01-01T00:00","2003-06-03T00:00","2004-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games1525","Windowgames_2600","0.15135135135135136",,"The Elder Scrolls IV: Shivering Isles","Prison Tycoon 4: Supermax","The Elder Scrolls IV: Shivering Isles","Prison Tycoon 4: Supermax","0.21621621621621623","0.21621621621621623","2007-03-26T00:00","2008-01-01T00:00","2007-03-26T00:00","2008-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games1796","Windowgames_2873","0.109375",,"The Elder Scrolls III: Bloodmoon","Scorched 3D","The Elder Scrolls III: Bloodmoon","Scorched 3D","0.15625","0.15625","2003-06-03T00:00","2001-01-01T00:00","2003-06-03T00:00","2001-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games11615","Windowgames_2775","0.13999999999999996",,"1nsane","Rise of Nations","1nsane","Rise of Nations","0.19999999999999996","0.19999999999999996","2001-02-05T00:00","2003-01-01T00:00","2001-02-05T00:00","2003-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games1796","Windowgames_2875","0.109375",,"The Elder Scrolls III: Bloodmoon","Scrapland","The Elder Scrolls III: Bloodmoon","Scrapland","0.15625","0.15625","2003-06-03T00:00","2004-01-01T00:00","2003-06-03T00:00","2004-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games13117","Windowgames_995","0.16666666666666669",,"Real Myst","Dracula: Resurrection","Real Myst","Dracula: Resurrection","0.23809523809523814","0.23809523809523814","2000-11-14T00:00","1999-01-01T00:00","2000-11-14T00:00","1999-01-01T00:00","0.0","0.0"
"LinearCombinationMatchingRule","all_games1796","Windowgames_2877","0.0875",,"The Elder Scrolls III: Bloodmoon","Screamer 4x4","The Elder Scrolls III: Bloodmoon","Screamer 4x4","0.125","0.125","2003-06-03T00:00","2001-01-01T00:00","2003-06-03T00:00","2001-01-01T00:00","0.0","0.0"
