"Blocking Key Value","Frequency"
"2016PlayStation 4","815517"
"2017PlayStation 4","637484"
"2015PlayStation 4","636955"
"2014PlayStation 4","179170"
"2013PlayStation 4","27755"
"2018PlayStation 4","3848"
"2012PlayStation 4","944"
