"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] GameNameComparatorLevenshtein record1Value","[0] GameNameComparatorLevenshtein record2Value","[0] GameNameComparatorLevenshtein record1PreprocessedValue","[0] GameNameComparatorLevenshtein record2PreprocessedValue","[0] GameNameComparatorLevenshtein similarity","[0] GameNameComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","Windowgames_1470","Video_games_sales14113","0.0",,"Gothic","Scarface: The World is Yours","Gothic","Scarface: The World is Yours","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_879","Video_games_sales13463","0.0",,"Delicious - Emilys Message in a Bottle","Age of Mythology: The Titans","Delicious - Emilys Message in a Bottle","Age of Mythology: The Titans","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2455","Video_games_sales12613","0.0",,"Overlord II","S.T.A.L.K.E.R.: Call of Pripyat","Overlord II","S.T.A.L.K.E.R.: Call of Pripyat","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_368","Video_games_sales13816","0.0",,"Blazing Angels 2: Secret Missions of WWII","Devil May Cry 4","Blazing Angels 2: Secret Missions of WWII","Devil May Cry 4","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_717","Video_games_sales6902","0.0",,"Cricket 2000","Metro 2033","Cricket 2000","Metro 2033","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_924","Video_games_sales14980","0.0",,"Diablo","Bully: Scholarship Edition","Diablo","Bully: Scholarship Edition","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3733","Video_games_sales13953","0.0",,"Worms 2: Armageddon","Grand Theft Auto: Vice City","Worms 2: Armageddon","Grand Theft Auto: Vice City","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_197","Video_games_sales13632","0.0",,"Astonishia Story","Runaway: A Twist of Fate","Astonishia Story","Runaway: A Twist of Fate","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_241","Video_games_sales3045","0.0",,"B-17 Flying Fortress: The Mighty 8th","Command & Conquer: Red Alert 3","B-17 Flying Fortress: The Mighty 8th","Command & Conquer: Red Alert 3","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2364","Video_games_sales15058","0.0",,"NHL Eastside Hockey Manager 2007","Battlestations: Pacific","NHL Eastside Hockey Manager 2007","Battlestations: Pacific","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1164","Video_games_sales5497","0.0",,"EverQuest: Secrets of Faydwer","Might & Magic Heroes VI","EverQuest: Secrets of Faydwer","Might & Magic Heroes VI","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1571","Video_games_sales15662","0.0",,"Heavy Weapon","Worldwide Soccer Manager 2007","Heavy Weapon","Worldwide Soccer Manager 2007","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_580","Video_games_sales16550","0.0",,"Civilization II: Test of Time","The Train Giant","Civilization II: Test of Time","The Train Giant","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3785","Video_games_sales8664","0.0",,"Ys: The Oath in Felghana","NBA 2K12","Ys: The Oath in Felghana","NBA 2K12","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_271","Video_games_sales16214","0.0",,"Barbie Riding Club","The Technomancer","Barbie Riding Club","The Technomancer","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3815","Video_games_sales16573","0.0",,"Zuma","Gobliiins 4","Zuma","Gobliiins 4","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1132","Video_games_sales12706","0.0",,"Escape from Monkey Island","pro evolution soccer 2011","Escape from Monkey Island","pro evolution soccer 2011","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_953","Video_games_sales10196","0.0",,"Discworld Noir","Wasteland 2","Discworld Noir","Wasteland 2","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3286","Video_games_sales12050","0.0",,"Supercar Street Challenge","Operation Flashpoint: Red River","Supercar Street Challenge","Operation Flashpoint: Red River","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1189","Video_games_sales483","0.0",,"F-22 Lightning 3","The Sims: Livin Large","F-22 Lightning 3","The Sims: Livin Large","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1712","Video_games_sales12466","0.0",,"In Cold Blood","Pro Evolution Soccer 2015","In Cold Blood","Pro Evolution Soccer 2015","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_583","Video_games_sales9295","0.0",,"Civilization III: Play the World","Warcraft III: Reign of Chaos","Civilization III: Play the World","Warcraft III: Reign of Chaos","0.1111111111111111","0.0"
"LinearCombinationMatchingRule","Windowgames_569","Video_games_sales16532","0.0",,"Chuchel","TrackMania Turbo","Chuchel","TrackMania Turbo","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2156","Video_games_sales12300","0.0",,"Mobil 1 Rally Championship","Dark Souls","Mobil 1 Rally Championship","Dark Souls","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1212","Video_games_sales15324","0.0",,"The Fairly OddParents: Shadow Showdown","Tom Clancys EndWar","The Fairly OddParents: Shadow Showdown","Tom Clancys EndWar","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_580","Video_games_sales16551","0.0",,"Civilization II: Test of Time","Inversion","Civilization II: Test of Time","Inversion","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2953","Video_games_sales15649","0.0",,"Shellshock: Nam 67","Mini Ninjas","Shellshock: Nam 67","Mini Ninjas","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_435","Video_games_sales16401","0.0",,"Build-a-lot","MXGP 2","Build-a-lot","MXGP 2","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1188","Video_games_sales483","0.0",,"F-22 Lightning II","The Sims: Livin Large","F-22 Lightning II","The Sims: Livin Large","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3196","Video_games_sales16760","0.0",,"Star Wars: Episode I: Battle for Naboo","Agatha Christie: Peril at End House","Star Wars: Episode I: Battle for Naboo","Agatha Christie: Peril at End House","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2653","Video_games_sales5549","0.0",,"Puyo Pop Fever","Medal of Honor: Warfighter","Puyo Pop Fever","Medal of Honor: Warfighter","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1879","Video_games_sales11134","0.0",,"Left 4 Dead","Star Wars: Empire at War - Gold Pack","Left 4 Dead","Star Wars: Empire at War - Gold Pack","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2919","Video_games_sales12230","0.0",,"The Settlers II","LEGO Batman: The Videogame","The Settlers II","LEGO Batman: The Videogame","0.16666666666666666","0.0"
"LinearCombinationMatchingRule","Windowgames_1648","Video_games_sales15765","0.0",,"Hot Wheels Velocity X","Legendary","Hot Wheels Velocity X","Legendary","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2571","Video_games_sales463","0.0",,"Possession","The Sims: Vacation","Possession","The Sims: Vacation","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2291","Video_games_sales2685","0.0",,"Necrobarista","The Witcher 3: Wild Hunt","Necrobarista","The Witcher 3: Wild Hunt","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_138","Video_games_sales7773","0.0",,"Anno 1404","Dead Space 3","Anno 1404","Dead Space 3","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3501","Video_games_sales16273","0.0",,"Trivial Pursuit: Unhinged","Rayman Raving Rabbids","Trivial Pursuit: Unhinged","Rayman Raving Rabbids","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_501","Video_games_sales4782","0.0",,"Casino Empire","Duke Nukem Forever","Casino Empire","Duke Nukem Forever","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1306","Video_games_sales16883","0.0",,"Fleet Command","Emperor: Rise of the Middle Kingdom","Fleet Command","Emperor: Rise of the Middle Kingdom","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_954","Video_games_sales3776","0.0",,"Disease: Hidden Object","Battlefield 1","Disease: Hidden Object","Battlefield 1","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1306","Video_games_sales16882","0.0",,"Fleet Command","Sherlock Holmes vs. Jack the Ripper","Fleet Command","Sherlock Holmes vs. Jack the Ripper","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3212","Video_games_sales13425","0.0",,"Star Wars: X-Wing vs. TIE Fighter","Clockwork Empires","Star Wars: X-Wing vs. TIE Fighter","Clockwork Empires","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_207","Video_games_sales14258","0.0",,"Atlantis Sky Patrol","Gothic Universe","Atlantis Sky Patrol","Gothic Universe","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1850","Video_games_sales12587","0.0",,"Kung Fu Panda","Call of Duty 2","Kung Fu Panda","Call of Duty 2","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1979","Video_games_sales17141","0.0",,"Luxor","Hidden Expedition: The Crown of Solomon","Luxor","Hidden Expedition: The Crown of Solomon","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1066","Video_games_sales2858","0.0",,"Earth No More","XCOM: Enemy Unknown","Earth No More","XCOM: Enemy Unknown","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3395","Video_games_sales2373","0.0",,"Tiny Brains","Call of Duty: Modern Warfare 2","Tiny Brains","Call of Duty: Modern Warfare 2","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1473","Video_games_sales14118","0.0",,"Gothic II: Night of the Raven","Harry Potter and the Prisoner of Azkaban","Gothic II: Night of the Raven","Harry Potter and the Prisoner of Azkaban","0.18181818181818182","0.0"
"LinearCombinationMatchingRule","Windowgames_812","Video_games_sales3617","0.0",,"Darwinia","Assassins Creed: Unity","Darwinia","Assassins Creed: Unity","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1523","Video_games_sales8361","0.0",,"Guilty Gear XX","Monkey Island: Special Edition Collection","Guilty Gear XX","Monkey Island: Special Edition Collection","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1775","Video_games_sales14426","0.0",,"Janes US Navy Fighters","Prince of Persia: The Forgotten Sands","Janes US Navy Fighters","Prince of Persia: The Forgotten Sands","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2804","Video_games_sales16964","0.0",,"Rollcage","Zumas Revenge!","Rollcage","Zumas Revenge!","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_673","Video_games_sales16643","0.0",,"Conan","Winning Eleven: Pro Evolution Soccer 2007","Conan","Winning Eleven: Pro Evolution Soccer 2007","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_384","Video_games_sales13830","0.0",,"Blues Clues Kindergarten","Heroes of Might and Magic V","Blues Clues Kindergarten","Heroes of Might and Magic V","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2849","Video_games_sales15538","0.0",,"Safecracker: The Ultimate Puzzle Adventure","The Lord of the Rings Online: Mines of Moria","Safecracker: The Ultimate Puzzle Adventure","The Lord of the Rings Online: Mines of Moria","0.09090909090909091","0.0"
"LinearCombinationMatchingRule","Windowgames_1313","Video_games_sales5619","0.0",,"Flock!","Batman: Arkham Asylum","Flock!","Batman: Arkham Asylum","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1201","Video_games_sales16762","0.0",,"F1 Manager","The Rise of the Argonauts","F1 Manager","The Rise of the Argonauts","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2757","Video_games_sales2293","0.0",,"Revenant","Assassins Creed","Revenant","Assassins Creed","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1986","Video_games_sales17135","0.0",,"Mace Griffin: Bounty Hunter","RailWorks 2: Train Simulator","Mace Griffin: Bounty Hunter","RailWorks 2: Train Simulator","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1593","Video_games_sales15680","0.0",,"Heroes of Might and Magic III: The Restoration of Erathia","Trapped Dead","Heroes of Might and Magic III: The Restoration of Erathia","Trapped Dead","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1201","Video_games_sales16764","0.0",,"F1 Manager","Summer Athletics","F1 Manager","Summer Athletics","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1764","Video_games_sales15863","0.0",,"The Italian Job","Tomb Raider: Legend","The Italian Job","Tomb Raider: Legend","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1986","Video_games_sales17134","0.0",,"Mace Griffin: Bounty Hunter","Beijing 2008","Mace Griffin: Bounty Hunter","Beijing 2008","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3024","Video_games_sales6806","0.0",,"The Sims 2: University","Hitman: Absolution","The Sims 2: University","Hitman: Absolution","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2644","Video_games_sales528","0.0",,"Putt-Putt and Peps Dog on a Stick","Myst","Putt-Putt and Peps Dog on a Stick","Myst","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_927","Video_games_sales16913","0.0",,"Diablo: Hellfire","UFO: Extraterrestrials","Diablo: Hellfire","UFO: Extraterrestrials","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_662","Video_games_sales13246","0.0",,"Commander – Europe at War","Sherlock Holmes: Crimes & Punishments","Commander – Europe at War","Sherlock Holmes: Crimes & Punishments","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_662","Video_games_sales13247","0.0",,"Commander – Europe at War","Plants vs. Zombies","Commander – Europe at War","Plants vs. Zombies","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3756","Video_games_sales12500","0.0",,"X-COM: Terror from the Deep","Age of Empires Online","X-COM: Terror from the Deep","Age of Empires Online","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3301","Video_games_sales14980","0.0",,"Swamp Buggy Racing","Bully: Scholarship Edition","Swamp Buggy Racing","Bully: Scholarship Edition","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2175","Video_games_sales12329","0.0",,"Monsters vs. Aliens","Cities XL 2012","Monsters vs. Aliens","Cities XL 2012","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2564","Video_games_sales430","0.0",,"Populous: The Beginning: Undiscovered Worlds","The Sims 4","Populous: The Beginning: Undiscovered Worlds","The Sims 4","0.14285714285714285","0.0"
"LinearCombinationMatchingRule","Windowgames_1876","Video_games_sales15971","0.0",,"Layers of Fear","Elven Legacy Collection","Layers of Fear","Elven Legacy Collection","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1249","Video_games_sales15334","0.0",,"FIFA 06","Guitar Hero III: Legends of Rock","FIFA 06","Guitar Hero III: Legends of Rock","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_124","Video_games_sales7783","0.0",,"Anacreon: Imperial Conquest in the Far Future","Test Drive Unlimited 2","Anacreon: Imperial Conquest in the Far Future","Test Drive Unlimited 2","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1626","Video_games_sales15741","0.0",,"Hitman: Blood Money","Atlantic Quest","Hitman: Blood Money","Atlantic Quest","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3611","Video_games_sales13858","0.0",,"Virtual Villagers","Black & White","Virtual Villagers","Black & White","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1102","Video_games_sales5432","0.0",,"Elven Legacy","The Sims 3: Town Life Stuff","Elven Legacy","The Sims 3: Town Life Stuff","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2224","Video_games_sales10478","0.0",,"Mystery Case Files: Prime Suspects","Pro Evolution Soccer 2014","Mystery Case Files: Prime Suspects","Pro Evolution Soccer 2014","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_383","Video_games_sales5100","0.0",,"Blue Heat: The Case of the Cover Girl Murders","World of Warcraft: Legion","Blue Heat: The Case of the Cover Girl Murders","World of Warcraft: Legion","0.09090909090909091","0.0"
"LinearCombinationMatchingRule","Windowgames_647","Video_games_sales16628","0.0",,"Combat Mission: Shock Force","Alone in the Dark","Combat Mission: Shock Force","Alone in the Dark","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3290","Video_games_sales16880","0.0",,"Supreme Commander 2","The Sims 2: Celebration Stuff","Supreme Commander 2","The Sims 2: Celebration Stuff","0.14285714285714285","0.0"
"LinearCombinationMatchingRule","Windowgames_2720","Video_games_sales12914","0.0",,"Rebel Cops","Gothic 3","Rebel Cops","Gothic 3","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3295","Video_games_sales10986","0.0",,"Surfs Up","Rocket League","Surfs Up","Rocket League","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1804","Video_games_sales15078","0.0",,"JumpStart Spy Masters: Max Strikes Back","Neverwinter Nights Diamond","JumpStart Spy Masters: Max Strikes Back","Neverwinter Nights Diamond","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2946","Video_games_sales15658","0.0",,"Shark Tale","UFO: Trilogy","Shark Tale","UFO: Trilogy","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2946","Video_games_sales15659","0.0",,"Shark Tale","Mount & Blade: Warband","Shark Tale","Mount & Blade: Warband","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1250","Video_games_sales15370","0.0",,"FIFA 07","Unreal Anthology","FIFA 07","Unreal Anthology","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_196","Video_games_sales16158","0.0",,"Asteroids","DuckTales: Remastered","Asteroids","DuckTales: Remastered","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2931","Video_games_sales15625","0.0",,"Shadow Ops: Red Mercury","4 Play Collection - Dark Mysteries","Shadow Ops: Red Mercury","4 Play Collection - Dark Mysteries","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2328","Video_games_sales13957","0.0",,"Nethergate","Empire Earth III","Nethergate","Empire Earth III","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_744","Video_games_sales16708","0.0",,"CSI: Crime Scene Investigation","Codename: Panzers Complete Collection","CSI: Crime Scene Investigation","Codename: Panzers Complete Collection","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1477","Video_games_sales15582","0.0",,"Grand Prix 3","Airport Simulator","Grand Prix 3","Airport Simulator","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2931","Video_games_sales15626","0.0",,"Shadow Ops: Red Mercury","Mount & Blade Collection","Shadow Ops: Red Mercury","Mount & Blade Collection","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3335","Video_games_sales10196","0.0",,"Tasty Blue","Wasteland 2","Tasty Blue","Wasteland 2","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_2778","Video_games_sales15475","0.0",,"Rise of the Triad","Sacred Gold","Rise of the Triad","Sacred Gold","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_1398","Video_games_sales671","0.0",,"Gadget: Invention, Travel, & Adventure","Half-Life 2","Gadget: Invention, Travel, & Adventure","Half-Life 2","0.0","0.0"
"LinearCombinationMatchingRule","Windowgames_3704","Video_games_sales5206","0.0",,"World Championship Rugby","Left 4 Dead 2","World Championship Rugby","Left 4 Dead 2","0.0","0.0"
